,TABLE,VALUE,CLUSTER,OBSERVED,EXPECTED,DIFF,INDCHI2,INFLUENCE,rank
21,SVCFLAG,Military service,10,25531.0306894075,48930.21517154369,-23399.184482136192,11189.851352778538,0.0027071159309510176,14.0
22,SVCFLAG,No military service,11,2923955.8863650328,2891569.291492386,32386.594872646965,362.74127358145125,8.775654381521102e-05,24.0
23,SVCFLAG,Military service,11,248343.7017619925,280730.29663463926,-32386.59487264676,3736.296153350507,0.0009039071673614881,17.0
24,SVCFLAG,No military service,12,151997.382014315,143217.54106441457,8779.84094990042,538.2413811369496,0.00013021458209193357,23.0
25,SVCFLAG,Military service,12,5124.5475441225,13904.388494022916,-8779.840949900416,5543.976791117786,0.0013412321056732353,16.0
26,CATAG6,18-25,0,4054973.9657120644,7199927.136311058,-3144953.1705989935,1373726.4638942247,0.06156014170917424,4.0
27,CATAG6,26-34,0,6323784.8946825005,8363377.811145763,-2039592.9164632624,497399.4190891652,0.022289720355527533,13.0
28,CATAG6,35-49,0,12330943.410623886,12846489.568225514,-515546.15760162845,20689.530724035485,0.000927149965253933,45.0
29,CATAG6,50-64,0,11624308.520298747,13146922.310632225,-1522613.7903334778,176341.8615959093,0.00790232282366487,30.0
30,CATAG6,65+,0,17875217.351378623,10652511.31638128,7222706.034997344,4897200.380136151,0.2194558795386331,1.0
31,CATAG6,18-25,1,7993542.583162305,8613120.52473739,-619577.9415750848,44568.84407734715,0.0019972421215777355,42.0
32,CATAG6,26-34,1,10968748.476554297,10004931.955217041,963816.5213372558,92848.43624731048,0.004160772208359939,37.0
33,CATAG6,35-49,1,16541296.104225537,15367983.713735128,1173312.390490409,89579.86885735224,0.004014299473794269,38.0
34,CATAG6,50-64,1,17690159.152453892,15727385.048073102,1962774.1043807901,244953.76523510588,0.010976994981462344,24.0
35,CATAG6,65+,1,9263048.868193835,12743373.942827215,-3480325.0746333804,950506.72447226,0.042594599574184815,6.0
36,CATAG6,18-25,2,6161694.439670689,5921755.992238892,239938.44743179716,9721.855921019654,0.0004356608421720168,49.0
37,CATAG6,26-34,2,6785062.668162498,6878664.426857686,-93601.75869518798,1273.6904560460634,5.707727632002276e-05,60.0
38,CATAG6,35-49,2,10850644.2677049,10565909.229305184,284735.03839971684,7673.172306612714,0.0003438541710952737,52.0
39,CATAG6,50-64,2,9848304.431327762,10813007.47890264,-964703.0475748777,86067.81895009881,0.003856915674571733,39.0
40,CATAG6,65+,2,9295049.530080846,8761418.2096423,533631.3204385452,32501.859783338798,0.0014564901722881188,44.0
41,CATAG6,18-25,3,5381330.982844028,3669061.6928033805,1712269.2900406471,799077.9024966959,0.035808692783655935,8.0
42,CATAG6,26-34,3,3273761.4532737895,4261952.734849313,-988191.2815755238,229125.49005928903,0.010267690117324474,25.0
43,CATAG6,35-49,3,5764454.460428133,6546533.300880631,-782078.8404524988,93430.71891213735,0.0041868657606817915,36.0
44,CATAG6,50-64,3,5562608.492678346,6699632.942801883,-1137024.4501235373,192969.4673150339,0.008647447702057255,28.0
45,CATAG6,65+,3,6623513.718608395,5428488.43649749,1195025.2821109053,263072.38959611056,0.011788936159385687,23.0
46,CATAG6,18-25,4,1594724.8516467898,2160816.4099858897,-566091.5583390999,148304.89575228796,0.006645915790829618,33.0
47,CATAG6,26-34,4,3234020.673055202,2509987.0700212154,724033.6030339864,208855.52144216635,0.009359341786483358,27.0
48,CATAG6,35-49,4,5246855.855108898,3855442.5543751735,1391413.3007337246,502155.3158045894,0.02250284406206643,12.0
49,CATAG6,50-64,4,4652724.573363923,3945607.355712607,707117.2176513155,126726.94326134521,0.005678953409271722,34.0
50,CATAG6,65+,4,940521.0764682875,3196993.639548217,-2256472.5630799294,1592642.65181711,0.07137032729209004,2.0
51,CATAG6,18-25,5,3166173.712067028,1623355.492952724,1542818.219114304,1466276.5288097945,0.06570754314689921,3.0
52,CATAG6,26-34,5,2035791.683010475,1885676.764823283,150114.91818719194,11950.345405279022,0.0005355250670043153,48.0
53,CATAG6,35-49,5,2174496.550349301,2896476.451902496,-721979.901553195,179961.75246112724,0.008064539247743106,29.0
54,CATAG6,50-64,5,2986393.792834155,2964214.518332244,22179.2745019109,165.95297485685484,7.4367706510410794e-06,64.0
55,CATAG6,65+,5,1408671.34578835,2401803.8560385653,-993132.5102502152,410654.75868736254,0.018402473711307432,15.0
56,CATAG6,18-25,6,684234.0798948616,1454470.7423287772,-770236.6624339157,407890.30600055394,0.01827859162588424,16.0
57,CATAG6,26-34,6,1573963.6170837781,1689501.5884265841,-115537.971342806,7901.160267296862,0.00035407088565714913,51.0
58,CATAG6,35-49,6,2532138.3409524816,2595143.376435499,-63005.035483017564,1529.6397618187495,6.854700915829509e-05,59.0
59,CATAG6,50-64,6,4413909.0157990325,2655834.356440617,1758074.6593584158,1163787.3801815617,0.05215224276908303,5.0
60,CATAG6,65+,6,1342638.73765584,2151933.72775452,-809294.9900986797,304358.0629605411,0.013639051134726746,21.0
61,CATAG6,18-25,7,1924249.7568351633,1184083.9701243262,740165.7867108372,462674.44340096076,0.020733606762029712,14.0
62,CATAG6,26-34,7,2091692.772465325,1375422.4750870224,716270.2973783026,373007.6745139285,0.016715413079102664,17.0
63,CATAG6,35-49,7,2086628.0506817508,2112705.042998373,-26076.992316622287,321.86676059432375,1.4423659960288205e-05,63.0
64,CATAG6,50-64,7,1735812.6969637026,2162113.542230289,-426300.8452665864,84053.13001626328,0.0037666323907255173,40.0
65,CATAG6,65+,7,747830.022985315,1751888.2694912483,-1004058.2465059333,575455.0560860444,0.025787589983157954,10.0
66,CATAG6,18-25,8,1316249.784288153,942266.5346044678,373983.24968368525,148433.0238924167,0.006651657535398546,32.0
67,CATAG6,26-34,8,1863707.0486831358,1094529.2748801166,769177.7738030192,540537.80130949,0.02422285987957778,11.0
68,CATAG6,35-49,8,1532460.5750278,1681241.6262154428,-148781.05118764285,13166.341379691372,0.0005900169083352352,47.0
