DRUGAFU	FRACTION	AVGAFU
IRTOBAGE 	 0.6650804596441857 	 16.35136608555355
IRALCAGE 	 0.8589964213919246 	 17.427060085369195
IRMJAGE 	 0.48165101355195283 	 18.321997294251585
IRCOC2AGE 	 0.161816152990367 	 21.81136267719275
IRSCRIPAGE 	 0.1344354751115839 	 35.589179123820294
IRHALLUCAGE 	 0.1697008551937922 	 19.609290821426402
IRINHALAGE 	 0.09192203023354562 	 17.85761244650029
IRHERAGE 	 0.021311309028125155 	 24.062108040018085
IRMETHAMAGE 	 0.0609023149755756 	 22.290152914824503
